20;Yellowcard;Indie Pop / Indie Rock
13;Jackson Browne;Folk / Pop / Rock
39;Marillion;Rock Progressif Moderne
22;The Comet Is Coming;Jazz / Contemporain
1;Nine Inch Nails;Alternative Rock / Metal
31;Cardiacs;Post-Punk / New Wave
13;George Harrison;Folk / Pop / Rock
43;Mocky;Trip-Hop
13;10cc;Folk / Pop / Rock
34;Drive Like Jehu;Punk / Post-Hardcore
20;The War on Drugs;Indie Pop / Indie Rock
13;The Kinks;Folk / Pop / Rock
24;Primordial;Metal Progressif / Death Metal
21;Dexter Gordon;Jazz / Classique
14;Francis Cabrel;FR
2;St. Vincent;Art Pop / Synthpop
19;Andrew Bird;Indie Folk
36;Childish Gambino;R&B
31;The Church;Post-Punk / New Wave
17;Black Sabbath;Hard Rock / Heavy Metal
45;The Dukes of Stratosphear;XTC
28;Christopher Larkin;OST
4;Alcest;Black Metal
20;The Strokes;Indie Pop / Indie Rock
20;Teenage Fanclub;Indie Pop / Indie Rock
18;MF DOOM;Hip-Hop
38;Jethro Tull;Rock Progressif
31;The Chameleons;Post-Punk / New Wave
13;Iggy Pop;Folk / Pop / Rock
11;Taylor Swift;Electro / Electropop
42;George Benson;Soul / Funk
20;Grandaddy;Indie Pop / Indie Rock
20;Ted Leo and the Pharmacists;Indie Pop / Indie Rock
19;Aimee Mann;Indie Folk
23;Chris Thile & Brad Mehldau;Jazz / Piano
20;Yves Tumor;Indie Pop / Indie Rock
6;Jan Johansson;Classique Contemporain
24;Opeth;Metal Progressif / Death Metal
20;Spiritualized;Indie Pop / Indie Rock
20;The Go! Team;Indie Pop / Indie Rock
31;Tuxedomoon;Post-Punk / New Wave
7;In Mourning;Death Metal Mélodique
20;Broken Social Scene;Indie Pop / Indie Rock
43;Nujabes;Trip-Hop
36;Blood Orange;R&B
20;Broadcast;Indie Pop / Indie Rock
32;Flying Saucer Attack;Post-Rock
24;Tool;Metal Progressif / Death Metal
42;William Onyeabor;Soul / Funk
20;Sugar;Indie Pop / Indie Rock
13;Steely Dan;Folk / Pop / Rock
24;Devin Townsend;Metal Progressif / Death Metal
1;Rammstein;Alternative Rock / Metal
1;X JAPAN;Alternative Rock / Metal
24;Thy Catafalque;Metal Progressif / Death Metal
5;James;Britpop
7;Wintersun;Death Metal Mélodique
19;Panda Bear;Indie Folk
14;Feu! Chatterton;FR
20;The Sundays;Indie Pop / Indie Rock
31;Clinic;Post-Punk / New Wave
2;Fever Ray;Art Pop / Synthpop
24;Death;Metal Progressif / Death Metal
13;Lou Reed;Folk / Pop / Rock
20;Mitski;Indie Pop / Indie Rock
34;Hüsker Dü;Punk / Post-Hardcore
20;Arcade Fire;Indie Pop / Indie Rock
13;Murray Head;Folk / Pop / Rock
20;Ween;Indie Pop / Indie Rock
17;Mercyful Fate;Hard Rock / Heavy Metal
2;Björk;Art Pop / Synthpop
20;The Temper Trap;Indie Pop / Indie Rock
6;Ólafur Arnalds;Classique Contemporain
38;Pink Floyd;Rock Progressif
31;My Dad Is Dead;Post-Punk / New Wave
17;King Diamond;Hard Rock / Heavy Metal
18;IAM;Hip-Hop
22;Snarky Puppy;Jazz / Contemporain
44;Habib Koité & Eric Bibb;World Music
4;Ulver;Black Metal
20;Brand New;Indie Pop / Indie Rock
10;General Elektriks;Electro / Downtempo
10;Lemon Jelly;Electro / Downtempo
38;Cluster;Rock Progressif
19;Adrianne Lenker;Indie Folk
38;King Crimson;Rock Progressif
34;Cave In;Punk / Post-Hardcore
9;Jon Hopkins;Electro / Ambient
20;Kings of Leon;Indie Pop / Indie Rock
10;M83;Electro / Downtempo
13;Marty Robbins;Folk / Pop / Rock
20;Yuck;Indie Pop / Indie Rock
20;Radiohead;Indie Pop / Indie Rock
8;Tiamat;Doom / Gothic Metal
20;Owen Pallett;Indie Pop / Indie Rock
20;Rolling Blackouts Coastal Fever;Indie Pop / Indie Rock
13;Queen;Folk / Pop / Rock
42;Chic;Soul / Funk
24;Devin Townsend Project;Metal Progressif / Death Metal
28;Lena Raine;OST
20;Rilo Kiley;Indie Pop / Indie Rock
13;The Beach Boys;Folk / Pop / Rock
20;Mac DeMarco;Indie Pop / Indie Rock
6;Rob Costlow;Classique Contemporain
20;The New Pornographers;Indie Pop / Indie Rock
20;Girls;Indie Pop / Indie Rock
14;France Gall;FR
31;Magazine;Post-Punk / New Wave
31;Second Layer;Post-Punk / New Wave
13;Santana;Folk / Pop / Rock
24;Animals as Leaders;Metal Progressif / Death Metal
18;Warren G;Hip-Hop
20;Allo Darlin’;Indie Pop / Indie Rock
28;Jon Brion;OST
6;Chilly Gonzales;Classique Contemporain
6;Peter Broderick;Classique Contemporain
20;Fleet Foxes;Indie Pop / Indie Rock
20;Slowdive;Indie Pop / Indie Rock
26;Phil Spector;Noël
13;Stevie Nicks;Folk / Pop / Rock
10;Rone;Electro / Downtempo
20;The Shins;Indie Pop / Indie Rock
44;Buena Vista Social Club;World Music
20;Cloud Nothings;Indie Pop / Indie Rock
6;Kiasmos;Classique Contemporain
19;Kings of Convenience;Indie Folk
13;Michael Jackson;Folk / Pop / Rock
20;The Feelies;Indie Pop / Indie Rock
14;Maxime Le Forestier;FR
45;Andy Partridge;XTC
20;Jellyfish;Indie Pop / Indie Rock
25;Daft Punk;New Funk
11;Dua Lipa;Electro / Electropop
20;Concrete Blonde;Indie Pop / Indie Rock
39;Lazuli;Rock Progressif Moderne
38;Genesis;Rock Progressif
7;Children of Bodom;Death Metal Mélodique
17;Led Zeppelin;Hard Rock / Heavy Metal
7;Be'lakor;Death Metal Mélodique
22;Jaco Pastorius;Jazz / Contemporain
39;Blackfield;Rock Progressif Moderne
17;Grave Digger;Hard Rock / Heavy Metal
17;Megadeth;Hard Rock / Heavy Metal
31;Siouxsie and the Banshees;Post-Punk / New Wave
21;The Horace Silver Quintet & The Horace Silver Trio;Jazz / Classique
20;Silver Jews;Indie Pop / Indie Rock
13;The Pretenders;Folk / Pop / Rock
2;Metronomy;Art Pop / Synthpop
8;The Gathering;Doom / Gothic Metal
14;Noir Désir;FR
20;Ride;Indie Pop / Indie Rock
13;The Doors;Folk / Pop / Rock
21;Charles Mingus;Jazz / Classique
