Gonzales - You Can Dance;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Ivory Tower/09 You Can Dance.mp3
Guns N' Roses - Civil War;/home/david/nfs/Toshiba/Musique/Guns N’ Roses/Use Your Illusion II/01 Civil War.mp3
Guns N' Roses - Knockin' on Heaven's Door;/home/david/nfs/Toshiba/Musique/Guns N’ Roses/Use Your Illusion II/04 Knockin' on Heaven's Door.mp3
Guns N' Roses - November Rain;/home/david/nfs/Toshiba/Musique/Guns N’ Roses/Use Your Illusion I/10 November Rain.mp3
Guns N' Roses - Paradise City;/home/david/nfs/Toshiba/Musique/Guns N’ Roses/Appetite for Destruction/06 Paradise City.mp3
Guns N' Roses - Sweet Child o' Mine;/home/david/nfs/Toshiba/Musique/Guns N’ Roses/Appetite for Destruction/09 Sweet Child o' Mine.mp3
Guns N' Roses - Welcome to the Jungle;/home/david/nfs/Toshiba/Musique/Guns N’ Roses/Appetite for Destruction/01 Welcome to the Jungle.mp3
Hard Girls - Camera;/home/david/MISSING
Hiromi - Seeker;/home/david/nfs/Toshiba/Musique/上原ひろみ ザ・トリオ・プロジェクト/Alive/04 Seeker.mp3
IAM - Demain, c'est loin;/home/david/nfs/Toshiba/Musique/IAM/L’École du micro d’argent/16 Demain, c’est loin.mp3
Janelle Monáe - Can't Live Without Your Love;/home/david/nfs/Toshiba/Musique/Janelle Monáe/The Electric Lady/16 Can’t Live Without Your Love.mp3
Janelle Monáe - Dance or Die;/home/david/nfs/Toshiba/Musique/Janelle Monáe/The ArchAndroid/02 Dance or Die.mp3
Janelle Monáe - Electric Lady;/home/david/nfs/Toshiba/Musique/Janelle Monáe/The Electric Lady/04 Electric Lady.mp3
Janelle Monáe - Primetime;/home/david/nfs/Toshiba/Musique/Janelle Monáe/The Electric Lady/06 Primetime.mp3
Janelle Monáe - Q.U.E.E.N.;/home/david/nfs/Toshiba/Musique/Janelle Monáe/The Electric Lady/03 Q.U.E.E.N_.mp3
Janelle Monáe - Tightrope;/home/david/nfs/Toshiba/Musique/Janelle Monáe/The ArchAndroid/07 Tightrope.mp3
Japandroids - Fire's Highway;/home/david/nfs/Toshiba/Musique/Japandroids/Celebration Rock/02 Fire’s Highway.mp3
Jim O'Rourke - All Downhill From Here;/home/david/nfs/Toshiba/Musique/Jim O’Rourke/Insignificance/01 All Downhill From Here.flac
Jim O'Rourke - Ghost Ship in a Storm;/home/david/nfs/Toshiba/Musique/Jim O’Rourke/Eureka/02 Ghost Ship in a Storm.flac
Jim O'Rourke - Happy Trails;/home/david/nfs/Toshiba/Musique/Jim O’Rourke/Bad Timing/04 Happy Trails.flac
Jim O'Rourke - The Workplace;/home/david/nfs/Toshiba/Musique/Jim O’Rourke/Halfway to a Threeway/03 The Workplace.flac
Jimi Hendrix - Little Wing;/home/david/nfs/Toshiba/Musique/The Jimi Hendrix Experience/Axis_ Bold as Love/06 Little Wing.mp3
Joshua Redman - Always August;/home/david/nfs/Toshiba/Musique/Joshua Redman & Brad Mehldau/Nearness/02 Always August.flac
Keith Jarrett - God Bless The Child;/home/david/nfs/Toshiba/Musique/Keith Jarrett Trio/Standards, Volume 1/05 God Bless the Child.flac
Keith Jarrett - Part II c;/home/david/nfs/Toshiba/Musique/Keith Jarrett/The Köln Concert/04 Köln, January 24, 1975, Part IIc.flac
