30;Cult of Luna
40;Jefferson Airplane
15;Soundgarden
5;Placebo
9;Fuck Buttons
13;Alanis Morissette
4;Enslaved
42;Al Green
22;Avishai Cohen with Nitai Hershkovits
20;Bat for Lashes
6;Giovanni Allevi
31;Aksak Maboul
29;Keane
10;Zero 7
1;Trivium
4;Amesoeurs
44;Amadou & Mariam
29;Snow Patrol
18;A Tribe Called Quest
1;Primus
13;Asia
42;Al Jarreau
10;Bonobo
30;Cult of Luna & Julie Christmas
33;Avantasia
41;Sun Kil Moon
41;Mark Kozelek & Jimmy LaValle
10;Todd Terje
9;Grouper
29;Smash Mouth
20;The Halo Benders
23;Yaron Herman Trio
11;M.I.A_
31;Gang of Four
19;Beth Orton
30;Hypno5e
28;Disasterpeace
18;Kendrick Lamar
20;The Dismemberment Plan
13;Stephen Stills
18;Beastie Boys
17;Twisted Sister
38;Caravan
35;Operation Ivy
42;Roy Ayers Ubiquity
14;Louis-Jean Cormier
35;The Offspring
42;Terry Callier
10;Nouvelle Vague
29;Wolfmother
13;Boston
24;Meshuggah
32;múm
7;Scar Symmetry
20;Throwing Muses
2;Sparks
32;Slint
4;Summoning
20;Car Seat Headrest
35;The Specials
20;Tindersticks
24;Mastodon
20;Robyn Hitchcock and the Egyptians
20;SLEEP RADIO
21;Billie Holiday
13;Warren Zevon
20;Elbow
20;Medicine
20;The Wedding Present
2;Ultravox
13;Tom Petty
13;Midnight Oil
38;Premiata Forneria Marconi
7;myGRAIN
13;Journey
7;Die Apokalyptischen Reiter
23;Lynne Arriale
19;Rufus Wainwright
32;Maybeshewill
42;Earth, Wind & Fire
28;Jerry Martin
13;Foreigner
19;Midlake
20;Kasabian
20;Sunny Day Real Estate
32;The Album Leaf
32;Labradford
13;Sting
28;Monty Python
42;Cortex
13;Eagles
13;Bryan Ferry
20;Fazerdaze
4;Les Discrets
7;Noumena
19;Mount Eerie
19;Bon Iver
7;Edge of Sanity
20;Chapterhouse
2;The Human League
20;Mazzy Star
33;Edguy
20;The Wrens
13;Phil Collins
39;dredg
32;Do Make Say Think
19;Cass McCombs
20;The Antlers
39;Oceansize
22;Metropole Orkest and Snarky Puppy
31;The Psychedelic Furs
2;Simple Minds
21;Jimmy Smith
20;Editors
2;Soft Cell
19;Lunatic Soul
35;Madness
33;Sonata Arctica
42;Vaudou Game
23;Brad Mehldau & Mark Guiliana
13;Tom Petty and the Heartbreakers
44;Milton Nascimento & Lô Borges
20;The La's
20;Xiu Xiu
21;Yusef Lateef
18;Wu-Tang Clan
28;坂本龍一
21;Clifford Brown & Max Roach
